# QIGOA reality-check | script=run_unet.py | experiment=main | data_source=brats | commit=6ef6d4e45c9669398de1c106d10ec700bb6d3ed2 | generated=2026-07-22T01:29:51
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
# A3: class B (learned) — OUT-OF-FOLD ONLY. Trained on all tumour slices of outer-train patients; scored on the single designated slice of held-out patients ('same input' is an INFERENCE constraint).
patient_id,target,method,method_class,fold,seed,checkpoint,dice,hd95,nsd,nsd_tau1,nsd_tau3,nsd_tau5,n_components,empty_mask,mask_hash,data_source,placeholder
BraTS20_Training_223,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9739959155888359,2.0,0.9744094488188977,0.8681102362204725,0.9803149606299213,0.9881889763779528,1,0,a007c94328d835381215644dee32c42138e5c5574080d39dc12c8cf7db3e3e19,brats,0
BraTS20_Training_230,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9827459618208517,1.0,0.9907621247113164,0.9584295612009238,0.9907621247113164,0.9953810623556582,1,0,b7a190c5b104bdf887dbd8830f789ed5de040deda589cc926cd0e549bf16d1ff,brats,0
BraTS20_Training_232,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.7959430089350399,9.0,0.5877342419080068,0.35604770017035775,0.7001703577512777,0.8109028960817717,2,0,a4673af44d132e3423157ddf8043c6dbad2a4309152376b640fe2cdfc0da6585,brats,0
BraTS20_Training_234,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.940686206417558,5.0,0.7062780269058296,0.35874439461883406,0.8968609865470852,0.9506726457399103,1,0,2234bebd32ccab4ece9136d2ff917c956a5497c4683fe4ad69507b977ab0f781,brats,0
BraTS20_Training_240,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8417375455650061,11.180339887498949,0.4175824175824176,0.24725274725274726,0.5970695970695971,0.8021978021978022,1,0,d61b5d5e44e0f90d7f5ee52e72954a25314228946cf28174227383a2d8291fb2,brats,0
BraTS20_Training_247,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8864531597876348,78.38779937112388,0.625,0.4983108108108108,0.7381756756756757,0.8125,4,0,fe07badd4ee1ebd764783df33e8dd092d4334417bd76b5067d2b49e79aaea82a,brats,0
BraTS20_Training_257,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9727592267135325,1.765685424949218,0.9828080229226361,0.9111747851002865,1.0,1.0,1,0,9b58f0a20a1b120c5b4fd1b3f0ba11baed8f2b6c12d8259ab35d6a29ca8e16c1,brats,0
BraTS20_Training_260,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.5209537572254336,16.0,0.2743142144638404,0.14463840399002495,0.4014962593516209,0.57356608478803,4,0,af0101e3669f9b7ad5d3a8c6503ed2f408010a26b574cc094eeeeb4c000818bc,brats,0
BraTS20_Training_263,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9104900769542325,4.0,0.8178694158075601,0.5532646048109966,0.9209621993127147,0.9759450171821306,2,0,dc7b27323f40cf6e640db467b405f7ed1c8a769088cb252265b225c4e1aa3492,brats,0
BraTS20_Training_267,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8105404885554914,13.536698583427594,0.3333333333333333,0.22008547008547008,0.5384615384615384,0.7264957264957265,2,0,492460e3661c3a9fa443c0b5d4e7bfb49bcda3a9ff17de836490d9b6fc07288d,brats,0
BraTS20_Training_272,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9596153846153846,5.907023542164904,0.8134057971014492,0.6884057971014492,0.8894927536231884,0.9402173913043478,1,0,dc2bbd54c5b14978cfda9d30cbebad0f2b3aea762a05e3dea50a5b64a8cc24e7,brats,0
BraTS20_Training_274,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9079487179487179,9.894431223130107,0.6500802568218299,0.550561797752809,0.7207062600321027,0.826645264847512,2,0,68c10c2a6e68669153668ce0711f6f2b417b90986114c2f81224234eb22fcc2c,brats,0
BraTS20_Training_275,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8152364273204904,6.332412212046365,0.5078369905956113,0.329153605015674,0.7178683385579937,0.9028213166144201,1,0,1750ca2c17f3ee90ba4afdd1854f3448bdefd020961140807d8a653cc75e60cb,brats,0
BraTS20_Training_277,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9030704394942806,3.0,0.832,0.696,0.96,1.0,1,0,daad0ac04ef110a0ba6adcd522d857a50e64bd23d85462a9714fe5e35263147d,brats,0
BraTS20_Training_296,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9645994832041344,2.23606797749979,0.9416342412451362,0.7587548638132295,0.9863813229571985,1.0,1,0,3214ad75ea63a68a71ae6861c6fea73e7b5d174e9025f6ad186f0a0381c6b8ae,brats,0
BraTS20_Training_299,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.6142552687662799,20.22992549494666,0.4495798319327731,0.3865546218487395,0.47689075630252103,0.5,4,0,71e0e8234c13b333eaf475d85245034fec844acce0acfc148eeeb7643d4e437f,brats,0
